"Title";"Saga";"Genre";"Synopsis"
"Xenon 2 - Megablast";"Xenon";"shooter";"Vertically scrolling space shooter, in which you have to pass several levels, filled with waves of enemies, that all end with a level boss creature. Each group of enemies you destroy grants you a cash reward and every once in a while you enter Colin's Bargain Basement, where you can use this cash to purchase upgrades for your ship like better weapons, speed & health upgrades etc. Some upgrades can also be picked up during the levels."
"Double Dragon";"Double Dragon";"brawler";"Set in a post-apocalyptic New York, Double Dragon is the story of Billy and Jimmy Lee, twin brothers trained in the fighting style of Sou-Setsu-Ken. Together, they manage a small martial arts training school, teaching their students in self-defense. One day, Billy's girlfriend, Marian, is kidnapped off the street by the ""Black Warriors"", a savage street gang led by a man named Willy. The Black Warriors demand the Lee brothers disclose their martial arts secrets in exchange for Marian's freedom. The Lee brothers set out on a rescue mission to crush the Black Warriors and save Marian."
"Prince of Persia";"Prince of Persia";"platforms";"While the Sultan of Persia is fighting a war in a foreign country, his Grand Vizier Jaffar orchestrates a coup d'état. His way to the throne lies through the Sultan's lovely daughter. Jaffar kidnaps her and threatens to kill her if she refuses to marry him. Meanwhile, the man the Princess loves is thrown into the dungeon. He has only one hour to escape from his prison, defeat the guards on his way, and stop Jaffar before the terrible marriage takes place."
"Phelios";"";"shooter";"Set in the world of Greek mythology, Phelios tells the story of a young prince called Apollo, who sets out to rescue his beloved Artemis who was seized by the demon Typhon while exploring the skies with the winged horse, Pegasus. In Typhon's temple, Artemis gets locked in a dungeon where Medusa turns her into stone."
"Flashback";"Flashback";"action, adventure";"The year is 2142. The player takes control of Conrad B. Hart, a man who has lost his memory. After barely escaping from hostile aliens, Conrad's bike crashes on an unknown planet. Conrad finds himself in the jungle, and from that moment on his quest for survival and his lost identity begins."
"Speedball 2 - Brutal Deluxe";"Speedball";"sports";"Brutal Deluxe doesn't live up to their name - in fact they're the worst team Speedball has ever seen. As their manager, it is your job to transform their fortunes. As well as the league system, which consists of 2 8-team divisions and challenges you to advance to the top, there are also 2 cup tournaments, one of which is played out over 2 ""legs"" with the aggregate score deciding who progresses."
"The Lion King";"";"platforms";"Young Simba just can't wait to be king. His father is the current King of the Savannah and the young prince is able to frolic the lands at will; jumping on and around other subjects of this animal kingdom. When Simba's father, King Mufasa, is killed and his evil brother Scar takes over the kingdom, Simba is banished from the lands of his birthright and has to grow up fast, honing his skills, for the day of his return."
"Disney's Aladdin";"";"action, platforms";"You control Aladdin through locations from the movie like the city of Agrabah, the Cave of Wonders, and Jafar's palace. Some locations not appearing in the film include a trippy, candy-colored world inside the Genie's lamp and an ancient pyramid. Enemies standing in Aladdin's way include the Sultan's guards, animals and various magical creatures. They can be dispatched by jumping on top of them or by throwing apples at them. Besides jumping and throwing, another one of Aladdin's abilities consists of him pulling out a blanket and using it to slow his fall."
"Disney's Pocahontas";"";"platforms";"Incarnation of the Disney cartoon; Pocahontas, along with a tag team partner in her raccoon friend, Meeko, goes about her homeland, helping her animal friends. As so is done, she will acquire animal spirits which will help her become stronger and bless her with new abilities."
"Indiana Jones and The Last Crusade (action game)";"";"action";"As in the movie, your task is to find the Holy Grail. Before this can be done you must find the Cross of Coronado, a shield and a diary. , , This makes for a four-level arcade adventure combining climbs, exploration (with several routes through each level, and some traps) and puzzles. Indy is armed with his trusty whip to fight off foes, but can also get involved in hand-to-hand combat. The first level takes place in caves underneath Colorado, before you reach a moving circus train strewn with traps, a Zeppelin which is full of guards and ladders, and then Castle Grunwald in Austria."
"Thunder Force IV";"Thunder Force";"shooter";"The Galaxy Federation has defeated the forces of the Orn Empire. But the former allies of Orn have united into a single powerful army known as Vios. The Galaxy Federation attacks their headquarters on the planet Aceria, but loses the battle. They then develop a new fighter spacecraft, the FIRE LEO-04 Rynex, and send a trained pilot to neutralize the Vios."
"Captain Commando";"";"brawler";"Metro City, 2026. A corrupt mutant group by the name of ""Scumocide"" plot to control the universe. The hero, Captain Commando assembles a team of three renegades; Ginzu the Ninja, Baby Head, and Mack the Knife; to help him foil Scumocide's plans. This task will not be easy as many of Earh's institutions are infested with Scumocides minions, but strength and persistence runs the team into the crusade."
"Castle of Illusion Starring Mickey Mouse";"Illusion";"platforms";"Mickey and Minnie are out for a picnic when Minnie is kidnapped by the witch Mizrabel. Now Mickey has to travel through five worlds in order to rescue her."
"QuackShot Starring Donald Duck";"";"platforms";"Donald and his three nephews get their hands on a treasure map and set out to hunt the big prize. Donald travels throughout the world, to places like Egypt, India, South Pole, and even Transylvania, while his nephews fly an airplane. As a weapon Donald uses plungers that can freeze the enemies or stick to walls which can then be used for climbing. Other wacky weapons are popcorn and bubblegum."
"Shadow of the Beast";"Shadow of The Beast";"action, adventure";"While very young, Aarbron was kidnapped and enslaved by the Priests of the Beast Lord. He grew up on drugs made to destroy his own will and turn him into the Beast Messenger, a powerful creature serving Maletoth, The Beast Lord himself. He did his job, until one day he noticed a man about to be sacrificed in a ritual, his face triggering ancient memories. As the sacrificial knife descended into the man's body, Aarbron recognizes his father's face. As his father dies in the altar, memories of his childhood and tormented past at the hands of the Beast Lord emerged, and as feelings of hate over his captors took over him, he swore revenge and fled the temple, knowing the road to avenge his father and redemption would be hard."
"Thunder Force III";"Thunder Force";"shooter";"The famous shoot'em up series ""Thunder Force"" reaches its third installment. Eight new levels of non-stop action, as always packed with gargantuan bosses. "
"Metal Gear";"Metal Gear";"action, adventure";"Near the end of the 20th century, a small fortified nation named Outer Heaven (founded by a mysterious war hero whose name and identity are shrouded in secrecy) is threatening the nations of the ""West"" with the development of a new prototype weapon named Metal Gear, a walking tank which is capable of launching nuclear warheads from anywhere on the globe. As FOX-HOUND's (an elite black ops unit) newest recruit, going by the codename of Solid Snake, your mission is to infiltrate Outer Heaven and rescue your missing comrade, Grey Fox (who was captured after a failed infiltration), while gathering intelligence on Metal Gear. "
"Contra";"Contra";"action";"In the year 2631, a small meteorite has fallen into the Galuga archipelago, located 20km northeast off the coast of New Zealand. Two years later, a terrorist group known as Red Falcon has seized the island in preparation for an alien invasion. The earth's marines sent two members of their elite Contra unit, Bill Rizer and Lance Bean, to neutralize the terrorists."
"Arkanoid II - Revenge of Doh";"Arkanoid";"action";"Revenge of Doh is a direct sequel to the original arcade smash Arkanoid. Along with improved graphic engine, better sound and music, better hardware support and more levels, Revenge of Doh also features a built-in editor and allows you to create your own level sets!"
"Metroid";"Metroid";"action, adventure";"In the future, the Galactic Federation and the pirates of planet Zebes are at war. Pirates have stolen an unknown life-form, recently discovered on the planet SR388. The life-form, designated ""Metroid"", is in a state of suspended animation and, according to analysis, was the cause of the complete destruction of SR388. If the Metroid ever got loose, the alien could destroy countless other systems. It is up to the space bounty hunter Samus Aran to land on Zebes and find her way through the perilous terrains of Brinstar and Norfair, destroy the Pirates, as well as their alien enforcers, Ridley and Kraid, and rid the planet of the alien life form before the pirates complete their plans of world destruction."
"Earthworm Jim";"";"action, platforms";"A crow is chasing a worm named Jim while in outer space Psy-Crow is chasing a renegade ship. The ship's captain has stolen an ultra-high-tech-indestructible-super-space-cyber-suit and Queen Slug-for-a-Butt has ordered Psy-Crow to get it, since it can make her more beautiful than Princess-What's-Her-Name. Psy-Crow blasts the captain and the suit falls to Planet Earth. Back on earth Jim wonders if he is finally safe when an ultra-high-tech-indestructible-super-space-cyber-suit lands on him. Luckily Jim rests in the neck ring of the suit. Then the space particles begin interacting with Jim, causing a light-speed evolution. Jim soon realizes he is in control of the suit. Jim overhears the Queen's plans for the suit and decides to meet this Pri"
"Altered Beast";"Altered Beast";"action";"You are a hero raised from the dead by the god Zeus to rescue his daughter Athena. With scenery inspired by Ancient Greece, you have to fight hordes of undead and demons, with a boss at the end of each level until you meet the god Neff, who holds the girl captive."
"Gods";"";"action, platforms";"Hercules is aiming to achieve immortality by completing the task the Gods have set him. His task is presented as a platform adventure set in ancient Greece, featuring a variety of enemies as you play it through."
"C-12 - Final Resistance";"";"action";"In the future, aliens invade the Earth in an attempt to harvest its carbon resources. Only the remains of Earth's military are left to save humanity. The player takes control of Lieutenant Riley Vaughan, a cybernetically enhanced human soldier and member of the underground resistance, whose mission is to thwart the aliens' plans and save the planet."
"Muppet Racemania";"";"racing";"Muppet Race Mania lets you race go-karts with the Jim Henson critters, in a game with nods to Super Mario Kart. The tracks are based on locations from all six movies, so gamers can expect to find familiar areas; ranging from the skyline of Manhattan, to the cold reaches of Outer Space. Each Muppet movie, ""The Muppet Movie"", ""The Great Muppet Caper"", ""Muppets Take Manhattan"", ""The Muppet Christmas Carol"", ""Muppet Treasure Island"", and ""Muppets From Space"". "
"Super Star Wars - The Empire Strikes Back";"Super Star Wars";"action, platforms";"The sequel to Super Star Wars is, as the name implies, based on Episode V: The Empire Strikes Back, the second of the original Star Wars movie trilogy. The game features familiar locations and events from the film, such as the ice planet Hoth, the search for Yoda on the jungle planet Dagobah, and the fight against Darth Vader. Several locations are expanded, adding places and boss enemies that did not exist in the movie, and certain key events in the story are omitted or changed. "
"Muppet Monster Adventure";"";"adventure, platforms";"The story starts with the Muppets attending the reading of Dr. Honeydew recently deceased uncle's will. Instead of going on a holiday to a tropical resort, Robin and the others find themselves at a rundown, creepy castle. Upon arriving Kermit, Miss Piggy, Fozzy and others are captured and now it's up to young Robin (Kermit's nephew) to save the day."
"Little Big Adventure";"";"adventure";"Somewhere in the universe, there is a beautiful planet called Twinsun. It is populated by four different races, which have been living in peace and prosperity, until a mad scientist Dr. Funfrock of the Quetch (human-like) race used his newly invented cloning and teleporting techniques to create an army of fearsome soldiers and become the planet's dictator. Twinsun's inhabitants have not lost hope, placing their faith in the old legend about the benevolent goddess Sendell who would save the world. However, Dr. Funfrock totalitarian regime forbade displaying any images of the goddess and her worship. A young Quetch named Twinsen was just a regular fellow until he had a dream, which surprisingly involved the outlawed goddess. It seems that Dr. Funfrock was no stranger to mind control; in his opinion, even dreaming of the goddess was illegal, and he promptly ordered to put the perpetrator in prison. Now the unlikely hero must find a way to escape and eventually save his planet from the clutches of its insane ruler."
"Raiden";"Raiden";"shooter";"In the year 2090, Earth is invaded by extra-terrestrials. The World Alliance of Nations has developed a supersonic attack fighter, Raiden, to defend the Earth. A pilot must take control of the experimental fighter to destroy the alien warships that just happen to look like odd variations of typical military tanks and planes with gadgets attached to them."
"Raiden II";"Raiden";"shooter";"Three years ago the alien invasion was crushed and the few survivors fled back to space where they came from. Now they have returned with bigger numbers and weapons. In this top-down shoot-em-up you must fight hundreds of enemy crafts and this time destroy them for good."
"Tomb Raider";"Tomb Raider";"action, adventure";"Lara Croft is a Tomb Raider, an archaeologist who explores ancient sites in search of valuable artifacts, who is hired to retrieve an artifact from a tomb in Peru, which turns out to be one of three parts of the Atlantean Scion. Soon betrayed by her employer, Lara Croft travels to Greece, Rome and Egypt to recover the other parts before this powerful device falls into the wrong hands."
"Art of Fighting";"Art of Fighting";"vs. fighting";"Yuri Sakazaki has been kidnapped! Her big brother Ryo Sakazaki and Robert Garcia, his best friend, go search for her on the streets of South Town. As they go deeper and deeper they will find clues as to who ordered the kidnapping, the Sakazaki family's relation to the mob, and a person from their past."
"Art of Fighting 2";"Art of Fighting";"vs. fighting";"In this sequel to the original Art of Fighting, and prequel to the original Fatal Fury, we learn that Mr. Karate, the final boss of the original game, behind the mask, is really Takuma Sakazaki, Ryo and Yuri's father, that Takuma was being used by Geese Howard for his own evil intentions, and that Mr. Big was the one who had originally kidnapped Yuri."
"Puzznic";"";"puzzle";"The challenge in each level of Puzznic is to manoeuvre a selection of blocks into place so as to clear them all, by making them make contact with blocks of the same design. You control a cross-hair, which can move a block left or right, which can cause it to fall if there is no block under the space it would occupy."
"Street Fighter Alpha 3";"Street Fighter";"vs. fighting";"Street Fighter Alpha 3, the third game in the Alpha series, has a total of 31 fighters, the most in the series so far. New characters include old favorites E. Honda, Blanka, Vega, Cammy, T. Hawk, Dee Jay, Juni and Juli. Some of the newest fighters on the block include a former Final Fight character (Cody), Karin Kanzuki and Rainbow Mika."
"Gradius";"Gradius";"shooter";"The people of Gradius are in trouble. The ameoboid Bacterions have launched an all out attack against the planet, and it's up to you to fly into battle and save them. Along the way you'll be able to power up your ship with hyper speed, force fields, lasers, missiles, double beam cannons and more to help you battle. "
"Gradius II";"Gradius";"shooter";"In the year 6664 Dr. Venom, the director of the Space Science Agency, was exiled to the planet Sard for his involvement in a failed rebellion and illegal scientific activities. One year later, he joined forces with the Bacterion invaders, escaped Sard, and took control of the space surrounding the planet Gradius. In 6666, the local government sends Colonel James Burton on the newest hyperspace fighter known as Metalion. The goal is clear: stop Dr. Venom and the Bacterion army before they conquer the planet."
"Ivan ""Ironman"" Stewart's Super Off Road";"";"racing";"Enter the world of off-road racing as 4 vehicles will face each other, on a series of tracks which are based around flipped and reversed versions of a core selection. Fame, glory and bikini clad women await your victories and the taste of dirt awaits if you fail. Let a computer car beat you and you lose one of your 3 credits."
"Wolfenstein 3D";"";"shooter";"Wolfenstein 3D is an episodic first-person shooter and a follow-up to the top-down infiltration game Castle Wolfenstein. The game puts the player in the boots of B.J. Blazkowicz, an allied spy. There are six episodes: the first distributed complete as shareware; the second and the third available after registration; and the three final missions (which happen before the events of the first episode) available in the Nocturnal Missions pack."
"Legend of Mana";"";"role play";"A twinkling consciousness became a star that sparkled in the night and banished the darkness. The Mana Goddess acquired consciousness by gazing into the light of that sun. She made Fa'Diel, a great land, but so far an empty one., , In Legend of Mana the player controls a hero or heroine traveling over the land of Fa'Diel. The game features a land creation system, allowing the player to create new locations and story elements by placing mysterious artifacts. Those ancient artifacts are repositories of the land's long-forgotten memories and the many events that once took place there. As the game advances, the player will receive more artifacts and find out more about the land. It is also possible raise pet monsters and create powerful golems, forge mighty weapons or refine musical instruments."
"MediEvil";"MediEvil";"action, adventure";"In the year 1286, Sir Daniel Fortesque and his soldiers fought against the evil sorcerer Zarok, who raised an army of demons, intending to conquer the world. Sir Daniel was hailed as a hero after the battle, supposedly having been mortally wounded during it, taking Zarok with him. However, it looks like the sorcerer was not defeated in that battle. A hundred years later, he appears again, robbing people of their souls to build an army of undead. Unleashing waves of necromantic energy, Zarok inadvertently revives Sir Daniel as well. Now a skeletal corpse, the knight must correct the mistakes of the past and defeat Zarok once and for all."
"The Last Blade";"The Last Blade";"vs. fighting";"Choose one of several characters to play with, each with their own unique moves and special attacks. Each stage in the game has two battles, where the object of each is to drain your opponent's energy in order to complete the battle, and you will complete the stage if you do this twice. If there is a draw, then a third battle is played. There is a time limit, and when this expires, the player with more energy left wins."
"The Last Blade 2";"The Last Blade";"vs. fighting";"The Last Blade 2: Heart of the Samurai is a 2D fighting game which features anime-style characters that fight each other with swords, clubs, and even fishing poles."
"Breath of Fire III";"Breath of Fire";"role play";"Set free by the the workers of Dauna Mine, Ryu of the Brood learns to both understand his power, and to understand the history of his extinct kind. By both utilizing Ryu's unique power and the abilities of those whom assist him, players will uncover the history of the Brood, learn more about the characters, and the very reason why the Brood were wiped out."
